Passenger ID,First Name,Last Name,Gender,Age,Nationality,Airport Name,Airport Country Code,Country Name,Airport Continent,Continents,Departure Date,Arrival Airport,Pilot Name,Flight Status
68356,Cairistiona,Tummond,Female,52,Tanzania,Mundo Maya International Airport,GT,Guatemala,NAM,North America,5/25/2022,FRS,Cairistiona Tummond,Cancelled
23779,Kelci,Colliver,Female,39,China,Matsu Nangan Airport,TW,"Taiwan, Province of China",AS,Asia,10/27/2022,LZN,Kelci Colliver,On Time
16341,Denys,Endricci,Male,33,Nigeria,Biju Patnaik Airport,IN,India,AS,Asia,7/22/2022,BBI,Denys Endricci,Delayed
12072,Findley,Godleman,Male,89,Indonesia,Tamchakett Airport,MR,Mauritania,AF,Africa,10/25/2022,THT,Findley Godleman,Delayed
95613,Fidelio,Guerry,Male,3,China,Yuruf Airport,ID,Indonesia,AS,Asia,05/02/2022,RUF,Fidelio Guerry,Delayed
93631,Krishnah,Dabels,Male,54,Russia,Monte Carmelo Airport,BR,Brazil,SAM,South America,9/14/2022,0,Krishnah Dabels,On Time
25310,Diannne,Samter,Female,73,Cameroon,Vadsø Airport,NO,Norway,EU,Europe,11/25/2022,VDS,Diannne Samter,Cancelled
41015,Inge,Hewins,Female,30,Morocco,Fakfak Airport,ID,Indonesia,AS,Asia,04/09/2022,FKQ,Inge Hewins,Cancelled
92933,Dermot,Stainburn,Male,54,Armenia,Islita Airport,CR,Costa Rica,NAM,North America,7/15/2022,PBP,Dermot Stainburn,Cancelled
97267,Ajay,Durward,Female,26,Russia,João Paulo II Airport,PT,Portugal,EU,Europe,8/26/2022,PDL,Ajay Durward,On Time
82767,Constancy,Darke,Female,51,China,Batticaloa Airport,LK,Sri Lanka,AS,Asia,02/12/2022,BTC,Constancy Darke,Cancelled
19411,Cy,Servante,Male,78,China,Omar N Bradley Airport,US,United States,NAM,North America,5/19/2022,MBY,Cy Servante,Cancelled
90638,Lennard,Giorgi,Male,43,Peru,Lihue Airport,US,United States,NAM,North America,1/31/2022,LIH,Lennard Giorgi,On Time
38712,Cordie,Rosenberger,Female,3,Brazil,Spirit of St Louis Airport,US,United States,NAM,North America,7/17/2022,SUS,Cordie Rosenberger,On Time
14976,Noelyn,Penquet,Female,80,Brazil,Tahsis Seaplane Base,CA,Canada,NAM,North America,11/16/2022,ZTS,Noelyn Penquet,On Time
49845,Frank,Greenhough,Male,52,Philippines,Mururoa Atoll Airport,PF,French Polynesia,OC,Oceania,02/06/2022,UOA,Frank Greenhough,On Time
11630,Tan,Connold,Male,73,Sweden,Denver International Airport,US,United States,NAM,North America,05/07/2022,DEN,Tan Connold,On Time
24402,Star,Casford,Female,49,Greece,Arly Airport,BF,Burkina Faso,AF,Africa,10/29/2022,ARL,Star Casford,Cancelled
25907,Travers,Selwyne,Male,85,Colombia,Springfield Branson National Airport,US,United States,NAM,North America,08/09/2022,SGF,Travers Selwyne,Cancelled
16277,Randie,Jankin,Male,68,Mexico,Paradise Island Airport,MZ,Mozambique,AF,Africa,10/29/2022,NTC,Randie Jankin,On Time
60017,Henryetta,Noice,Female,36,Chile,Merritt Airport,CA,Canada,NAM,North America,11/03/2022,YMB,Henryetta Noice,Delayed
40870,Fons,Schrieves,Male,14,Albania,Naval Outlying Field Imperial Beach (Ream Field),US,United States,NAM,North America,9/26/2022,NRS,Fons Schrieves,On Time
30481,Lissa,Thynn,Female,74,Luxembourg,In Guezzam Airport,DZ,Algeria,AF,Africa,1/20/2022,INF,Lissa Thynn,Delayed
95434,Mattias,Darrell,Male,78,Honduras,Aldan Airport,RU,Russian Federation,AS,Asia,08/07/2022,ADH,Mattias Darrell,Cancelled
86701,Cirilo,Camoletto,Male,19,China,Bhojpur Airport,NP,Nepal,AS,Asia,12/10/2022,BHP,Cirilo Camoletto,Delayed
46273,Aeriela,Clarke,Female,70,Portugal,Gorna Oryahovitsa Airport,BG,Bulgaria,EU,Europe,9/25/2022,GOZ,Aeriela Clarke,On Time
84184,Marjory,Franz,Female,46,Nigeria,Hattiesburg Laurel Regional Airport,US,United States,NAM,North America,7/27/2022,PIB,Marjory Franz,Cancelled
99708,Rodolph,Grewcock,Male,23,Kazakhstan,Nalchik Airport,RU,Russian Federation,EU,Europe,11/26/2022,NAL,Rodolph Grewcock,Delayed
38663,Justinn,Ishchenko,Female,54,Pakistan,Venice Municipal Airport,US,United States,NAM,North America,04/01/2022,VNC,Justinn Ishchenko,On Time
46615,Winne,Cowland,Female,73,France,Tanda Tula Airport,ZA,South Africa,AF,Africa,6/17/2022,TDT,Winne Cowland,Cancelled
76666,Gabriella,Patry,Female,65,China,Lar Airport,IR,"Iran, Islamic Republic of",AS,Asia,7/31/2022,LRR,Gabriella Patry,Delayed
59755,Tann,McCroary,Male,2,Poland,Stewart International Airport,US,United States,NAM,North America,07/06/2022,SWF,Tann McCroary,Cancelled
16470,Ebony,Knappitt,Female,7,Russia,Genoa Cristoforo Colombo Airport,IT,Italy,EU,Europe,12/18/2022,GOA,Ebony Knappitt,On Time
34176,Piggy,Hugle,Male,39,Philippines,Buka Airport,PG,Papua New Guinea,OC,Oceania,10/29/2022,BUA,Piggy Hugle,Delayed
67654,Lisle,Floyd,Male,25,China,Copán Ruinas Airport,HN,Honduras,NAM,North America,7/14/2022,RUY,Lisle Floyd,On Time
93619,Leroi,Raeburn,Male,88,Brazil,Waycross Ware County Airport,US,United States,NAM,North America,9/17/2022,AYS,Leroi Raeburn,Cancelled
72572,Nicole,Gages,Female,54,South Africa,En Nahud Airport,SD,Sudan,AF,Africa,5/18/2022,NUD,Nicole Gages,Cancelled
56995,Mariele,Lucius,Female,33,Ukraine,Memorial Field,US,United States,NAM,North America,11/28/2022,HOT,Mariele Lucius,Cancelled
40102,Sherwood,Woolaston,Male,80,Portugal,Tarama Airport,JP,Japan,AS,Asia,4/13/2022,TRA,Sherwood Woolaston,On Time
12578,Ag,Gumby,Female,76,China,Akita Airport,JP,Japan,AS,Asia,06/03/2022,AXT,Ag Gumby,Delayed
52420,Basil,Canon,Male,18,Portugal,Hatzfeldhaven Airport,PG,Papua New Guinea,OC,Oceania,5/25/2022,HAZ,Basil Canon,Cancelled
25323,Care,Kearton,Male,4,Kenya,Tapini Airport,PG,Papua New Guinea,OC,Oceania,7/30/2022,TPI,Care Kearton,Cancelled
64660,Violetta,Francois,Female,85,Indonesia,Casa De Campo International Airport,DO,Dominican Republic,NAM,North America,04/04/2022,LRM,Violetta Francois,Delayed
78937,Adlai,Tilmouth,Male,49,Serbia,Owatonna Degner Regional Airport,US,United States,NAM,North America,01/04/2022,OWA,Adlai Tilmouth,On Time
27716,Gwenore,Smaridge,Female,7,Russia,Handan Airport,CN,China,AS,Asia,03/08/2022,HDG,Gwenore Smaridge,Delayed
34872,Kurt,Marling,Male,65,Indonesia,Mal Airport,PG,Papua New Guinea,OC,Oceania,10/26/2022,MMV,Kurt Marling,Delayed
65726,Artemus,Brewitt,Male,27,China,Fáskrúðsfjörður Airport,IS,Iceland,EU,Europe,1/13/2022,FAS,Artemus Brewitt,On Time
64178,Sergio,Edmonson,Male,10,Sweden,Omora Airport,PG,Papua New Guinea,OC,Oceania,08/01/2022,OSE,Sergio Edmonson,On Time
41626,Maia,Kidwell,Female,45,Philippines,Fort Mcpherson Airport,CA,Canada,NAM,North America,12/04/2022,ZFM,Maia Kidwell,Delayed
86568,Reinaldo,Caines,Male,76,Indonesia,Newcastle Airport,GB,United Kingdom,EU,Europe,3/17/2022,NCL,Reinaldo Caines,On Time
26009,Lincoln,Casburn,Male,6,Vietnam,Guanghan Airport,CN,China,AS,Asia,2/24/2022,GHN,Lincoln Casburn,Cancelled
52463,Kelsy,Danhel,Female,21,Indonesia,Pureni Airport,PG,Papua New Guinea,OC,Oceania,8/15/2022,PUI,Kelsy Danhel,Delayed
48885,Des,Sutehall,Male,65,Indonesia,Long Island Airport,PG,Papua New Guinea,OC,Oceania,10/23/2022,LSJ,Des Sutehall,Cancelled
35628,Darnall,Comfort,Male,72,Russia,Xinzhou Wutaishan Airport,CN,China,AS,Asia,4/27/2022,WUT,Darnall Comfort,Cancelled
29073,Bernardo,Bigland,Male,79,Philippines,Bandar Lengeh Airport,IR,"Iran, Islamic Republic of",AS,Asia,12/05/2022,BDH,Bernardo Bigland,Cancelled
36560,Cymbre,Steeden,Female,55,Russia,Canarana Airport,BR,Brazil,SAM,South America,9/26/2022,CQA,Cymbre Steeden,Cancelled
60038,Leandra,Demer,Female,6,Colombia,Cà Mau Airport,VN,Viet Nam,AS,Asia,1/13/2022,CAH,Leandra Demer,Cancelled
61283,Shermy,Gatchell,Male,66,Colombia,Tezu Airport,IN,India,AS,Asia,5/23/2022,TEI,Shermy Gatchell,Delayed
13487,Bryn,Pratley,Female,56,Maldives,Krasnoselkup Airport,RU,Russian Federation,EU,Europe,8/19/2022,KKQ,Bryn Pratley,On Time
47082,Eran,Summerill,Female,62,Afghanistan,Monte Dourado Airport,BR,Brazil,SAM,South America,12/28/2022,MEU,Eran Summerill,On Time
17122,Arlena,Ridwood,Female,65,Ireland,Awaba Airport,PG,Papua New Guinea,OC,Oceania,10/28/2022,AWB,Arlena Ridwood,Delayed
81645,Rozelle,Neubigin,Female,74,China,Al Thaurah Airport,SY,Syrian Arab Republic,AS,Asia,11/15/2022,SOR,Rozelle Neubigin,Delayed
34533,Jacenta,Linner,Female,38,Argentina,Sibiu International Airport,RO,Romania,EU,Europe,12/24/2022,SBZ,Jacenta Linner,Cancelled
63937,Mariann,Wilshin,Female,80,China,Panguitch Municipal Airport,US,United States,NAM,North America,10/19/2022,PNU,Mariann Wilshin,Delayed
20726,Jedidiah,Malins,Male,66,Indonesia,Cue Airport,AU,Australia,OC,Oceania,10/16/2022,CUY,Jedidiah Malins,Cancelled
58025,Rory,Wank,Female,84,Japan,Ilam Airport,IR,"Iran, Islamic Republic of",AS,Asia,10/21/2022,IIL,Rory Wank,Cancelled
22792,Modesty,Zink,Female,11,Ukraine,Soledade Airport,BR,Brazil,SAM,South America,10/03/2022,0,Modesty Zink,Cancelled
88148,Newton,Berni,Male,52,Argentina,Helenvale Airport,AU,Australia,OC,Oceania,05/02/2022,HLV,Newton Berni,Delayed
47567,Sybila,Troker,Female,8,Indonesia,Dalhart Municipal Airport,US,United States,NAM,North America,04/08/2022,DHT,Sybila Troker,On Time
14238,Jewel,Betteney,Female,66,China,Yam Island Airport,AU,Australia,OC,Oceania,12/27/2022,XMY,Jewel Betteney,On Time
17437,Hobie,Skace,Male,70,China,St George Airport,AU,Australia,OC,Oceania,07/12/2022,SGO,Hobie Skace,Delayed
82660,Loree,Fishpond,Female,37,Ukraine,Dallas Love Field,US,United States,NAM,North America,5/31/2022,DAL,Loree Fishpond,On Time
74440,Gauthier,Elsip,Male,33,Uruguay,Gerrard Smith International Airport,KY,Cayman Islands,NAM,North America,06/11/2022,CYB,Gauthier Elsip,Cancelled
53681,Gisella,Watters,Female,35,Philippines,RAF Wildenrath,DE,Germany,EU,Europe,2/17/2022,WID,Gisella Watters,Cancelled
92243,Flora,Delgardillo,Female,51,Philippines,General Lucio Blanco International Airport,MX,Mexico,NAM,North America,10/19/2022,REX,Flora Delgardillo,On Time
46701,Dorthea,Wealleans,Female,6,China,Wantoat Airport,PG,Papua New Guinea,OC,Oceania,11/30/2022,WTT,Dorthea Wealleans,On Time
49095,Arlyn,Boole,Female,45,Philippines,Sofia Airport,BG,Bulgaria,EU,Europe,1/20/2022,SOF,Arlyn Boole,On Time
50314,Jameson,Sayce,Male,53,Brazil,Antônio Guerreiro Airport,BR,Brazil,SAM,South America,9/16/2022,GMS,Jameson Sayce,On Time
35643,Collin,Ciepluch,Male,54,China,Central Maine Airport of Norridgewock,US,United States,NAM,North America,4/13/2022,OWK,Collin Ciepluch,Delayed
56006,Francoise,Mustill,Female,76,Netherlands,Lawson Army Air Field (Fort Benning),US,United States,NAM,North America,7/21/2022,LSF,Francoise Mustill,Delayed
64843,Peterus,Lettson,Male,70,Botswana,Ust-Maya Airport,RU,Russian Federation,EU,Europe,11/10/2022,UMS,Peterus Lettson,Delayed
62061,Yuri,Crossfield,Male,38,Peru,Dalby Airport,AU,Australia,OC,Oceania,5/15/2022,DBY,Yuri Crossfield,On Time
29696,Kirbee,Wrenn,Female,45,Armenia,Lučenec Airport,SK,Slovakia,EU,Europe,7/27/2022,LUE,Kirbee Wrenn,On Time
75962,Rici,Rein,Female,85,Russia,Meghauli Airport,NP,Nepal,AS,Asia,2/26/2022,MEY,Rici Rein,Delayed
42432,Anestassia,Vauls,Female,20,Albania,Nikolai Airport,US,United States,NAM,North America,08/11/2022,NIB,Anestassia Vauls,On Time
44187,Virgil,Markussen,Male,79,Philippines,Bemidji Regional Airport,US,United States,NAM,North America,6/19/2022,BJI,Virgil Markussen,Cancelled
42979,Marlin,Yegorev,Male,25,Egypt,Muhammad Salahuddin Airport,ID,Indonesia,AS,Asia,8/28/2022,BMU,Marlin Yegorev,Cancelled
71429,Clemmie,Harbertson,Male,76,Ukraine,"Magdeburg ""City"" Airport",DE,Germany,EU,Europe,12/06/2022,ZMG,Clemmie Harbertson,Cancelled
95524,Happy,Jaskowicz,Female,82,Mexico,Tsletsi Airport,DZ,Algeria,AF,Africa,11/01/2022,QDJ,Happy Jaskowicz,Cancelled
95185,Quentin,Plaschke,Male,37,Syria,Groote Eylandt Airport,AU,Australia,OC,Oceania,3/30/2022,GTE,Quentin Plaschke,On Time
24415,Paulie,Dunnet,Male,37,Serbia,Lemhi County Airport,US,United States,NAM,North America,1/23/2022,SMN,Paulie Dunnet,Delayed
48147,Wilma,Burdytt,Female,72,Poland,Green River Airport,PG,Papua New Guinea,OC,Oceania,07/11/2022,GVI,Wilma Burdytt,On Time
30237,Cobbie,Imorts,Male,18,Croatia,Kenai Municipal Airport,US,United States,NAM,North America,07/03/2022,ENA,Cobbie Imorts,Delayed
63186,Murry,Entreis,Male,86,Russia,Margaret River (Station) Airport,AU,Australia,OC,Oceania,12/15/2022,MGV,Murry Entreis,On Time
49923,George,Wildber,Female,32,Brazil,Abraham Lincoln Capital Airport,US,United States,NAM,North America,4/25/2022,SPI,George Wildber,Delayed
54907,Bethany,Corona,Female,62,Tanzania,Shahid Sadooghi Airport,IR,"Iran, Islamic Republic of",AS,Asia,8/16/2022,AZD,Bethany Corona,Cancelled
85619,Carolann,Yves,Female,89,Poland,Arathusa Safari Lodge Airport,ZA,South Africa,AF,Africa,10/07/2022,ASS,Carolann Yves,Cancelled
78751,Benson,Hook,Male,29,Indonesia,Bewani Airport,PG,Papua New Guinea,OC,Oceania,11/29/2022,BWP,Benson Hook,On Time
60100,Dunstan,Fyrth,Male,42,China,Jwaneng Airport,BW,Botswana,AF,Africa,3/28/2022,JWA,Dunstan Fyrth,On Time
80927,Rutger,Georgeon,Male,54,Myanmar,Turaif Domestic Airport,SA,Saudi Arabia,AS,Asia,02/08/2022,TUI,Rutger Georgeon,Cancelled
84952,Gearalt,Bynold,Male,1,China,Nueva Loja Airport,EC,Ecuador,SAM,South America,12/17/2022,LGQ,Gearalt Bynold,Delayed
82361,Ferrel,Elphey,Male,7,Slovenia,Southern Seaplane Airport,US,United States,NAM,North America,3/26/2022,BCS,Ferrel Elphey,Cancelled
49563,Magda,Nealand,Female,66,United States,Wanuma Airport,PG,Papua New Guinea,OC,Oceania,09/01/2022,WNU,Magda Nealand,Cancelled
97464,Pamella,Eaden,Female,90,Indonesia,Amchitka Army Airfield,US,United States,NAM,North America,06/07/2022,AHT,Pamella Eaden,Cancelled
61845,Nathanil,Monan,Male,69,Brazil,Araraquara Airport,BR,Brazil,SAM,South America,03/08/2022,AQA,Nathanil Monan,On Time
46383,Skelly,Gopsell,Male,9,Czech Republic,Phoenix-Mesa-Gateway Airport,US,United States,NAM,North America,06/10/2022,AZA,Skelly Gopsell,On Time
64998,Arel,Tyson,Male,37,Spain,Orocue Airport,CO,Colombia,SAM,South America,08/12/2022,ORC,Arel Tyson,Cancelled
64762,Ericha,Dressel,Female,29,Sweden,Gorakhpur Airport,IN,India,AS,Asia,1/30/2022,GOP,Ericha Dressel,Cancelled
83264,Yasmin,Findlow,Female,83,Macedonia,Moody Air Force Base,US,United States,NAM,North America,8/17/2022,VAD,Yasmin Findlow,Delayed
86839,Corby,Van Der Straaten,Male,75,Kazakhstan,Sangir Airport,ID,Indonesia,AS,Asia,10/01/2022,SAE,Corby Van Der Straaten,On Time
77115,Herbert,Billingsly,Male,56,Mongolia,Jubail Airport,SA,Saudi Arabia,AS,Asia,2/13/2022,QJB,Herbert Billingsly,Delayed
69972,Aprilette,Veysey,Female,13,Thailand,Trona Airport,US,United States,NAM,North America,5/28/2022,TRH,Aprilette Veysey,Cancelled
81192,Biddy,Rief,Female,89,Vietnam,Kribi Airport,CM,Cameroon,AF,Africa,1/13/2022,KBI,Biddy Rief,On Time
47536,Brunhilda,Davley,Female,16,Indonesia,Black Tickle Airport,CA,Canada,NAM,North America,02/12/2022,YBI,Brunhilda Davley,Delayed
58535,Artair,Ondrich,Male,73,Indonesia,Pakhokku Airport,MM,Myanmar,AS,Asia,05/12/2022,PKK,Artair Ondrich,Delayed
87618,Marylinda,Gussie,Female,15,Poland,Khovd Airport,MN,Mongolia,AS,Asia,10/13/2022,HVD,Marylinda Gussie,Cancelled
53314,Gabrila,Speedin,Female,88,Portugal,Rostock-Laage Airport,DE,Germany,EU,Europe,8/23/2022,RLG,Gabrila Speedin,On Time
94385,Pavlov,Hadye,Male,82,Brazil,Mecheria Airport,DZ,Algeria,AF,Africa,05/12/2022,MZW,Pavlov Hadye,Cancelled
